run_id,decoder_type,layer_count,hidden_size,epoch,loss,sparse_categorical_accuracy,val_loss,val_sparse_categorical_accuracy
lstm_preinject_layers2_hidden512,lstm,2,512,13,0.6846393346786499,0.1857282817363739,1.1830083131790161,0.139363631606102
lstm_preinject_layers2_hidden512,lstm,2,512,14,0.6571239829063416,0.1908474713563919,1.1937836408615112,0.13920000195503235
lstm_preinject_layers2_hidden512,lstm,2,512,15,0.6310679912567139,0.19550000131130219,1.2048693895339966,0.13953939080238342
lstm_preinject_layers2_hidden512,lstm,2,512,16,0.6060181260108948,0.20055252313613892,1.217511534690857,0.13941211998462677
lstm_preinject_layers2_hidden512,lstm,2,512,17,0.5816121697425842,0.20575959980487823,1.2320376634597778,0.13866665959358215
lstm_preinject_layers2_hidden512,lstm,2,512,18,0.5587463974952698,0.21064747869968414,1.2402421236038208,0.13793332874774933
lstm_preinject_layers2_hidden512,lstm,2,512,19,0.5361570715904236,0.2152060568332672,1.253159523010254,0.13682423532009125
lstm_preinject_layers2_hidden512,lstm,2,512,20,0.5144493579864502,0.22014141082763672,1.2685575485229492,0.1355878859758377
lstm_preinject_layers3_hidden512,lstm,3,512,1,1.8432823419570923,0.06546060740947723,1.634768009185791,0.08898181468248367
lstm_preinject_layers3_hidden512,lstm,3,512,2,1.4785529375076294,0.10010302811861038,1.447365641593933,0.10677576065063477
lstm_preinject_layers3_hidden512,lstm,3,512,3,1.3477253913879395,0.11038282513618469,1.3548181056976318,0.11585454642772675
lstm_preinject_layers3_hidden512,lstm,3,512,4,1.233274221420288,0.12051615864038467,1.2836220264434814,0.12343030422925949
lstm_preinject_layers3_hidden512,lstm,3,512,5,1.1550148725509644,0.127405047416687,1.2416952848434448,0.12779393792152405
lstm_preinject_layers3_hidden512,lstm,3,512,6,1.0930386781692505,0.13308990001678467,1.214160442352295,0.1308727264404297
lstm_preinject_layers3_hidden512,lstm,3,512,7,1.0432188510894775,0.1376979798078537,1.1989246606826782,0.13248485326766968
lstm_preinject_layers3_hidden512,lstm,3,512,8,1.0008654594421387,0.1416504979133606,1.1837433576583862,0.13415758311748505
lstm_preinject_layers3_hidden512,lstm,3,512,9,0.9639090895652771,0.14519596099853516,1.1778442859649658,0.13555151224136353
lstm_preinject_layers3_hidden512,lstm,3,512,10,0.930959939956665,0.14881010353565216,1.1733704805374146,0.1374303102493286
